Koodi,Nimi,HEX
X447,Merisavu,#CDD1C8
V447,Serpentiini,#AEB2A5
J446,Flanelli,#BFC2B1
V386,Niili,#C2C3A4
V451,Oliivilehto,#C5BD9C
V449,Jade,#ADAC93
L447,Verholehti,#82856C
M449,Luola,#5B5B4A
N378,Ficus,#434A41
G385,Muusa,#EDEDD5
G452,Huhtikuu,#E5DFC3
H450,Lepo,#D8D2B8
Y383,Kurkku,#E5E9D2
X381,Aaloe,#D4DDB8
X388,Chablis,#EBE9C1
N388,Wasabi,#C4C27A
S451,Maja,#999268
M386,Amazon,#747142
M384,Basilika,#6A7A4C
L373,Smaragdi,#309173
M442,Vuono,#465D55
